,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
10,Jzzgyyfkville,Bqcpland,11.735,43.956,7.585,28.128,23.566,9.318,74.671,41.661,43.655,0.961,22.858,6.818,62.205,48.695,25.686,80.609,47.828,71.555,10.793,0.639,122.875,63.078,101.581,29.594,105.494,21.573,0.625,22.978,9.204,4.516,68.735,34.053,115.104,54.344,10.179,58.491,20.542,29.477,8.096,0.431,34.202,7,22.785,48.496,27.407,95.124,35.876,55.858,10.727,10.315,4.234,27.57,98.24,100.874,26.805,1
11,Dmnzuyville,Ljkphland,7.366,33.163,10.377,51.493,0.327,87.86,35.11,20.234,47.451,2.178,17.226,1.763,72.902,22.373,36.276,16.557,42.981,6.852,69.523,0.999,21.546,20.804,4.528,61.333,60.873,99.615,61.54,38.027,18.011,3.825,1.799,9.708,20.727,47.418,69.275,76.501,18.818,25.868,0.546,10.145,57.709,14.445,23.055,3.533,99.196,0.598,18.38,2.898,49.096,61.967,56.05,43.352,64.376,28.743,42.29,1
12,Xbdztusville,Ekyiqgland,12.705,33.868,9.933,89.967,48.196,49.389,15.169,77.141,7.208,1.672,14.941,124.44,21.769,65.345,36.641,48.305,18.143,11.49,5.827,1.119,2.167,67.183,10.366,8.713,11.072,100.694,38.274,23.71,49.827,2.089,13.92,68.634,71.365,34.457,9.772,21.628,20.63,92.478,83.755,20.452,11.523,48.517,49.989,45.333,32.589,39.139,10.439,41.651,31.27,30.15,79.73,128.173,6.329,102.869,47.625,1
13,Fuzbhwuville,Oexcsiland,8.919,28.603,8.475,57.198,70.822,91.47,25.87,79.133,57.147,1.288,77.747,69.775,90.756,22.483,41.904,42.302,66.482,29.559,30.283,1.619,69.066,24.308,15.717,9.113,100.775,19.861,46.014,25.074,87.57,1.167,9.652,77.859,0.121,47.989,20.622,25.488,11.569,54.287,55.593,43.68,1.135,34.003,102.505,43.483,50.087,39.279,142.284,96.116,75.212,59.331,90.626,50.195,4.087,63.996,24.668,0
14,Mawxeville,Mytsland,11.663,36.516,9.89,89.653,67.982,40.429,54.696,99.164,21.048,2.202,31.556,31.609,2.564,92.875,33.372,34.547,18.882,69.746,64.1,1.129,0.891,80.279,69.767,83.431,77.992,27.356,34.127,13.42,38.595,0.07,90.904,14.257,63.981,20.872,10.461,1.048,42.194,47.526,63.56,36.666,68.148,16.437,93.402,64.274,108.336,91.603,55.86,62.698,65.227,40.55,32.51,66.691,54.581,85.06,15.157,1
15,Lovxoehville,Xnrealand,9.244,38.73,8.986,36.495,51.07,28.495,39.487,37.562,46.806,1.068,18.325,109.784,15.988,97.938,78.605,100.759,55.661,38.859,19.118,2.394,27.606,28.163,63.263,6.489,48.016,38.295,42.281,82.625,74.263,3.339,64.435,57.577,12.609,101.98,44.634,67.804,86.072,8.846,44.838,24.673,95.251,66.292,57.871,60.125,124.937,12.37,108.119,0.853,59.499,35.888,117.323,90.41,21.99,15.486,88.072,1
16,Uovylgville,Xnrealand,11.114,36.821,5.669,46.355,34.065,5.885,4.801,82.453,143.911,1.173,13.899,15.458,70.903,117.031,104.082,17.937,33.349,24.749,11.888,1.289,67.976,94.313,48.706,63.434,55.498,61.67,61.198,57.02,42.397,4.284,87.724,36.758,1.877,54.27,19.064,91.841,34.442,93.16,6.682,32.013,16.865,94.136,119.413,22.931,84.589,5.049,34.968,69.033,46.901,107.789,78.57,79.358,48.584,57.578,30.056,0
17,Vbisoacville,Qanoland,6.48,40.045,7.094,62.46,7.042,51.138,103.837,62.502,6.631,1.213,11.693,13.617,37.168,54.562,63.38,17.778,88.181,2.674,31.801,1.389,1.562,12.159,66.252,61.449,25.718,15.279,60.19,96.909,75.945,2.427,61.388,46.536,39.91,77.497,78.326,17.232,32.853,90.009,107.914,7.703,17.419,89.868,61.319,11.933,130.655,24.969,51.258,77.814,52.482,0.723,83.174,17.875,25.224,96.682,9.596,1
18,Luwmfmtwville,Ewsszkland,9.742,34.996,9.361,54.108,33.142,25.402,38.287,92.156,54.569,1.302,31.742,4.599,77.727,80.005,42.559,20.339,54.546,37.63,68.526,2.057,32.647,38.095,79.525,85.674,1.968,72.405,91.234,47.747,66.743,2.616,17.225,100.679,5.3,46.35,119.532,119.355,18.068,102.718,63.16,77.199,74.774,55.206,14.419,25.759,58.5,68.645,2.444,69.768,103.795,36.625,31.472,74.224,18.45,17.796,42.4,1
19,Ficleacgville,Txvvland,11.695,36.918,10.145,37.817,37.763,44.953,62.382,71.052,25.209,1.325,18.354,55.955,34.389,42.303,21.034,30.154,63.497,7.782,97.726,0.252,10.125,97.429,6.504,16.655,41.228,102.661,52.963,20.633,55.223,3.826,21.475,60.04,55.556,6.145,34.818,18.294,58.479,42.528,115.42,74.737,17.325,49.711,10.75,84.508,33.513,5.716,44.354,114.048,48.318,127.694,70.91,52.933,40.783,34.325,93.639,1
20,Fbfvbvville,Xbdtland,10.55,37.759,12.041,30.345,13.123,92.787,74.968,48.095,80.608,1.289,57.611,63.729,108.695,1.687,4.32,21.123,31.845,6.28,121.639,2.421,48.308,25.841,22.205,9.415,47.967,19.86,108.707,16.866,16.806,3.335,9.884,24.809,59.534,55.022,31.131,56.831,26.712,43.272,61.134,32.298,74.242,36.556,18.409,12.606,21.22,65.111,40.531,83.122,25.093,102.499,36.599,12.119,30.007,25.521,65.819,1
21,Smlfthcville,Ewsszkland,12.941,35.197,10.877,94.255,30.4,55.46,97.952,58.977,63.625,2.028,76.602,110.786,86.368,43.253,86.153,123.355,87.533,26.539,126.769,2.493,17.709,22.842,8.73,34.423,12.081,0.137,48.582,89.632,65.14,2.955,40.274,51.156,34.027,24.739,41.959,53.754,10.143,55.305,29.581,13.671,21.654,17.516,25.514,33.942,125.211,40.931,52.608,31.564,20.117,30.091,112.115,7.815,111.385,19.955,35.844,1
22,Fmmzbcjjville,Flippland,10.678,43.979,8.056,27.665,103.455,38.219,47.168,43.271,7.279,1.642,132.209,14.31,26.751,58.56,14.915,52.958,41.067,49.873,69.304,0.149,1.385,60.31,62.688,58.401,59.988,59.301,31.305,81.05,26.259,2,42.167,61.284,27.837,37.059,75.073,44.775,108.941,96.472,2.706,132.97,56.38,48.016,116.526,32.251,30.167,44.648,21.366,35.825,77.246,99.384,3.509,73.337,34.92,44.782,98.362,1
23,Yrxpuiville,Kuzlvland,11.212,31.391,9.198,16.8,25.558,21.209,106.273,53.949,39.631,1.54,39.512,49.656,33.891,29.482,50.279,93.076,74.737,108.082,34.129,0.853,44.809,44.946,58.141,7.49,17.167,105.093,20.059,51.723,27.427,1.012,94.921,36.503,21.432,19.047,119.474,28.008,44.443,92.882,51.88,60.842,69.589,28.909,92.026,48.224,50.578,91.268,0.125,10.119,42.187,45.875,45.895,59.994,4.396,142.37,79.102,0
24,Khypvpywville,Ajqegzland,9.32,32.302,8.138,93.655,61.288,20.942,66.104,6.351,79.856,1.694,31.839,122.98,49.177,37.587,110.218,69.523,34.564,11.042,12.209,0.104,106.324,19.997,63.932,54.044,55.783,1.386,39.164,9.027,18.86,1.421,52.444,31.21,25.792,25.393,39.128,49.216,88.941,57.051,134.734,97.539,108.598,37.449,50.683,21.322,93.048,5.614,11.691,56.226,77.717,8.061,88.027,38.024,17.251,21.215,65.079,1
25,Khypvpywville,Jijyvland,7.823,32.7,9.17,70.482,82.214,20.17,45.728,81.436,48.956,1.209,86.309,65.493,69.828,72.621,89.295,42.976,8.307,86.851,2.15,1.377,8.839,52.898,78.861,56.567,44.395,39.53,67.247,40.673,28.245,0.984,77.561,48.605,27.347,16.056,2.753,4.891,21.397,40.482,22.494,55.94,62.869,51.283,69.811,24.877,98.533,38.156,23.538,36.4,24.686,23.011,10.913,6.814,71.7,93.683,89.639,1
26,Zthfewville,Srkaland,5.576,36.51,8.235,126.549,79.438,43.257,85.146,19.237,41.768,2.385,43.487,38.979,84.479,3.056,29.394,9.694,64.02,34.431,22.696,1.279,59.127,91.115,44.047,14.666,14.799,41.494,2.78,98.89,41.463,1.073,62.069,11.603,50.684,54.774,110.552,103.577,45.898,33.787,1.972,57.033,51.865,29.768,30.233,68.568,10.397,3.476,77.934,40.441,7.93,56.688,35.027,43.8,101.316,84.287,11.647,1
27,Ficleacgville,Ljkphland,8.646,21.127,8.836,47.553,102.974,63.968,7.292,44.364,13.94,1.585,104.796,61.89,47.883,71.745,15.944,9.807,34.597,50.58,14.226,1.481,14.665,0.803,102.76,28.594,57.702,57.465,72.015,66.723,53.631,4.365,14.245,11.895,54.473,22.194,18.723,131.81,103.978,47.127,47.373,7.701,31.352,42.86,26.425,108.505,112.153,33.808,129.035,27.131,100.134,19.726,42.925,36.74,82.638,81.243,73.482,1
28,Jzzgyyfkville,Bhrsnland,10.114,29.198,9.871,22.214,57.856,32.138,49.592,20.325,87.195,1.272,85.591,26.449,41.225,99.695,94.944,96.468,48.663,21.559,50.997,1.011,137.485,97.953,26.991,58.116,110.943,3.978,88.22,61.888,128.955,2.799,84.132,85.955,15.532,116.054,26.31,87.035,19.539,79.602,52.493,30.701,59.243,105.369,8.19,21.444,44.769,20.932,33.979,22.385,3.36,69.695,30.524,7.725,11.73,54.917,85.908,1
29,Edoeqrxville,Ekyiqgland,8.283,36.539,6.97,27.675,51.09,45.082,48.619,49.194,22.731,2.114,55.704,63.633,38.547,29.135,51.606,71.099,27.865,7.48,0.658,0.94,33.169,99.875,49.825,31.786,45.691,37.474,22.535,99.325,74.999,3.809,70.63,43.677,55.759,7.514,34.261,36.239,33.259,33.259,2.652,26.787,24.488,24.662,125.864,0.566,18.963,60.83,33.468,13.044,70.498,9.604,85.764,26.877,11.609,4.102,72.17,1
30,Xvxypcyville,Kfcfdcland,9.049,44.478,9.021,89.696,10.368,12.392,38.157,50.441,20.894,2.137,54.412,46.895,51.579,7.822,7.044,34.616,70.5,33.998,41.39,1.028,38.094,50.209,74.996,106.692,51.203,75.682,77.685,26.101,90.483,1.243,18.478,38.9,31.324,48.185,75.82,58.67,44.314,58.797,113.519,26.014,6.715,34.402,46.577,59.514,19.514,81.274,96.434,41.587,28.544,22.777,62.876,96.76,90.504,69.704,109.614,1
31,Etlpmville,Zaikland,9.692,29.737,7.102,40.768,54.885,37.379,27.042,101.63,68.143,1.474,51.872,90.868,50.246,25.183,21.834,71.781,43.147,31.708,102.052,2.179,65.646,81.496,71.497,0.899,60.365,76.004,22.362,19.738,55.437,4.128,29.99,6.753,101.443,76.692,38.77,121.458,45.872,12.541,27.38,77.483,59.794,29.093,13.04,26.358,24.328,55.718,85.834,57.262,76.534,118.41,48.982,43.589,94.205,66.357,23.712,1
32,Niiicville,Xbdtland,9.607,37.879,8.916,72.683,91.159,110.582,1.918,71.2,3.317,0.677,20.628,26.746,8.771,31.963,44.688,18.905,41.089,1.385,23.631,0.682,40.358,13.047,64.757,58.738,81.394,14.376,47.813,83.905,64.309,4.826,6.616,3.53,33.787,75.317,88.279,24.811,7.333,10.255,40.131,47.258,41.167,0.944,22.834,25.946,69.637,48.922,48.121,107.598,120.033,122.946,30.214,106.516,26.868,57,83.958,1
33,Etlpmville,Jdeihbland,9.125,39.423,8.113,77.074,104.795,13.583,131.164,52.678,107.292,1.743,67.715,77.161,60.04,0.149,27.762,145.864,3.347,6.157,28.549,0.239,87.138,103.247,123.027,65.116,31.665,68.506,6.225,94.775,55.491,2.377,69.047,114.814,2.692,83.892,1.29,19.407,34.266,78.806,74.424,12.102,66.33,38.236,58.806,9.297,10.846,12.677,62.939,114.753,57.546,91.034,58.473,34.384,11.916,41.25,41.236,1
34,Fmmzbcjjville,Ndwkklland,7.183,33.649,7.993,72.248,20.182,8.939,35.122,88.953,17.289,1.943,65.137,57.87,113.304,4.488,52.367,98.78,1.087,4.274,24.487,1.835,45.658,113.957,2.365,78.686,98.867,43.537,100.059,23,21.091,3.811,23.065,20.403,61.533,93.765,24.737,59.348,11.312,114.026,35.678,42.371,97.338,20.302,34.088,3.339,22.902,137.631,50.012,56.987,34.876,7.354,74.66,52.582,6.229,7.792,40.094,0
35,Acrngtville,Uqmysxland,7.24,30.487,9.295,12.734,121.813,24.455,122.842,4.561,4.182,1.456,55.641,55.168,19.254,10.112,18.17,23.402,59.043,40.923,77.077,1.684,18.469,34.564,73.295,90.784,55.644,107.117,86.348,12.193,40.581,3.615,53.991,18.7,53.96,49.618,69.541,33.738,20.957,36.392,30.754,21.761,32.921,69.172,36.183,17.786,15.219,45.95,51.965,16.53,4.607,57.905,43.338,133.114,10.285,115.387,73.324,1
36,Lxvlsville,Dqfpland,8.756,36.197,7.9,114.246,56.063,25.223,85.842,56.597,58.815,1.816,64.515,15.669,26.861,48.095,66.627,25.873,45.775,48.789,117.233,1.862,43.883,73.014,83.834,8.337,93.848,41.599,14.103,45.827,8.616,4.902,10.467,53.178,19.005,23.312,41.478,47.358,51.882,7.393,27.687,63.726,1.782,27.208,34.366,11.947,28.905,54.588,107.995,15.09,39.486,63.548,26.717,141.049,39.387,0.739,103.186,1
37,Mffvdville,Zaikland,16.154,45.485,9.293,84.891,12.325,27.667,19.902,10.166,32.949,1.917,15.835,28.753,4.91,57.29,60.064,98.681,5.728,112.721,3.913,1.89,39.888,48.805,22.25,4.738,58.746,8.578,115.245,13.484,54.628,1.41,26.488,135.28,19.526,0.756,37.285,34.579,62.417,21.954,23.256,68.675,11.463,18.602,46.887,86.018,34.796,10.86,33.178,18.008,17.152,83.919,101.988,95.155,112.226,12.936,83.903,1
38,Ovvwyville,Ayqbland,14.643,26.175,11.773,53.131,66.79,66.889,2.313,79.733,22.983,1.328,0.998,35.145,80.659,73.085,0.147,12.574,2.736,116.761,63.399,2.095,25.013,83.758,89.184,32.85,85.358,75.94,45.46,9.601,18.104,0.514,94.377,32.428,95.628,51.086,30.733,104.682,7.575,69.143,46.818,26.037,36.823,53.565,41.675,78.523,19.752,40.746,0.586,16.128,47.252,40.847,122.056,103.103,3.402,54.125,6.502,0
39,Zjpwmville,Qanoland,10.171,32.462,7.871,55.383,9.914,123.573,101.841,29.355,47.474,1.614,94.716,64.859,63.926,0.585,19.69,62.233,89.802,8.409,23.183,0.889,30.864,105.169,12.838,51.214,31.214,41.051,57.711,51.045,79.042,4.468,114.884,48.487,106.091,30.583,1.191,48.83,9.812,28.487,2.301,95.228,24.42,65.726,20.778,110.302,47.412,90.499,103.635,1.927,7.601,61.397,70.006,59.456,41.015,53.021,40.332,1
40,Apzjbbville,Edxbsland,9.682,36.173,7.867,43.118,41.793,88.282,137.598,50.31,33.34,1.476,10.34,7.819,41.977,94.632,56.675,31.342,42.243,54.448,53.532,2.224,22.572,87.007,8.799,66.821,66.785,28.271,69.536,53.419,37.144,4.615,11.968,54.924,47.087,17.877,51.874,54.56,110.662,40.827,53.824,3.998,7.825,19.95,72.899,37.799,104.307,28.137,17.832,46.045,31.381,49.276,11.015,42.97,114.817,41.008,4.462,0
41,Alyptville,Gxxbnqland,8.814,40.954,7.536,23.895,97.932,83.143,106.375,51.944,49.541,1.094,8.845,48.152,106.954,57.175,34.47,46.043,56.002,31.43,30.701,1.643,105.749,18.339,23.814,49.086,70.322,60.203,16.63,83.583,85.094,2.347,28.836,135.497,66.786,93.22,24.674,63.048,117.87,113.965,2.481,74.702,50.16,11.473,89.787,28.638,31.525,42.549,19.272,65.266,11.968,50.165,15.504,43.784,101.833,13.879,43.605,0
42,Zjpwmville,Ozmssland,10.281,39.6,8.303,9.105,33.529,44.721,121.173,34.206,35.619,1.357,41.653,55.244,94.882,37.878,21.053,76.922,32.919,29.194,21.575,1.569,9.523,7.641,86.173,9.122,104.645,53.127,35.243,98.298,10.84,3.872,48.998,20.614,93.245,18.678,6.668,3.76,87.511,45.693,41.475,85.95,66.502,22.543,87.254,5.048,91.894,14.934,60.67,47.496,5.13,44.326,34.3,69.418,82.863,56.463,42.625,1
43,Lxvlsville,Ayqbland,9.163,34.913,7.306,45.005,26.883,43.423,8.115,26.185,64.538,0.925,44.865,123.939,54.605,90.236,42.392,30.604,52.269,45.796,22.789,2.448,35.185,29.295,25.611,23.59,58.736,62.367,15.042,98.904,15.31,3.162,48.058,45.403,23.912,55.126,2.848,40.796,55.915,43.419,14.129,127.857,64.881,27.383,52.815,14.189,39.091,33.608,17.939,67.808,6.331,29.742,69.368,47.08,50.118,56.332,5.293,0
44,Alyptville,Xfvzvland,13.892,41.634,8.076,29.603,17.92,12.89,65.636,32.152,36.161,1.28,68.915,65.327,93.521,54.388,77.568,50.615,2.141,19.314,33.173,0.83,44.334,103.873,98.385,133.754,71.858,63.348,15.879,45.829,77.7,0.739,83.301,26.958,64.673,10.41,28.458,102.825,47.048,58.285,57.976,68.008,27.43,15.308,34.99,9.865,10.207,70.616,1.263,85.721,104.657,30.989,115.676,44.694,36.103,117.355,40.647,1
45,Putpatbville,Ajqegzland,10.057,35.276,7.983,78.42,79.313,49.592,25.562,114.546,58.573,1.406,130.875,42.189,77.388,23.253,44.111,3.011,14.209,11.795,75.998,0.522,39.755,4.438,66.841,11.158,59.589,18.713,104.638,15.654,31.561,3.366,18.559,7.796,33.726,26.638,61.391,15.68,20.258,70.311,7.378,48.014,35.068,87.939,73.266,84.33,9.322,58.944,112.564,69.281,112.603,55.195,11.58,78.064,55.072,57.138,36.807,1
46,Ovvwyville,Jeghland,11.533,36.774,11.306,49.318,57.661,115.223,24.18,72.35,125.411,0.886,52.315,68.665,62.12,76.395,48.617,67.777,20.181,119.063,16.229,1.989,81.485,3.384,130.693,5.934,66.677,19.176,65.099,93.348,76.143,5.138,0.318,5.309,3.734,2.134,6.946,88.605,19.787,22.12,58.366,32.899,84.475,33.504,26.564,79.294,12.904,119.296,92.462,45.109,54.904,9.616,35.013,11.69,65.826,46.748,9.094,1
47,Zjpwmville,Qanoland,15.066,41.775,8.973,9.03,24.928,38.904,63.412,8.126,42.357,1.641,22.961,85.957,69.801,0.488,78.677,64.263,46.866,21.886,0.696,2.558,59.315,20.447,100.707,9.262,7.707,12.29,29.99,40.764,7.664,5.142,16.21,3.093,42.008,60.435,0.73,6.692,59.91,119.21,43.311,35.539,85.716,46.792,13.942,6.562,30.647,86.208,104.321,116.012,54.048,69.068,73.911,53.184,6.567,78.201,10.954,1
48,Fzrzxlville,Hrycrjland,13.245,31.438,7.119,23.002,98.79,109.081,0.553,2.049,111.45,1.918,41.629,104.629,18.567,62.812,57.585,70.75,11.228,11.55,69.346,1.247,75.255,25.935,26.178,4.934,80.355,116.533,48.263,107.326,27.925,3.391,18.821,4.895,120.181,51.777,31.625,23.867,3.645,33.35,54.492,57.915,52.538,30.869,3.545,17.889,69.519,39.98,8.645,30.196,3.717,90.563,55.854,29.597,54.953,62.694,44.885,1
49,Lovxoehville,Ajqegzland,5.864,51.594,7.802,71.44,85.506,9.059,12.712,26.864,42.766,1.809,65.764,8.946,41.483,8.13,84.7,16.783,97.207,4.386,37.57,1.908,64.936,75.318,107.77,29.676,51.596,41.435,0.504,80.941,53.602,3.031,75.946,5.814,76.046,77.393,43.193,66.25,17.707,39.228,22.125,65.8,34.82,32.343,55.456,26.36,64.885,39.339,6.802,15.799,112.663,50.662,60.1,40.691,87.139,115.551,24.414,1
50,Vbisoacville,Bzzwland,10.979,27.12,8.432,9.236,80.5,1.485,28.041,102.71,16.562,1.471,56.583,93.717,47.164,94.038,101.91,35.013,73.145,94.308,70.483,1.198,57.437,9.758,5.45,96.062,34.928,17.289,62.478,113.147,73.06,1.951,34.476,124.458,42.421,29.808,22.758,48.373,80.363,40.677,87.273,44.904,82.55,64.661,22.26,8.728,56.618,33.069,105.551,116.026,14.459,25.969,16.357,30.037,14.548,64.718,8.056,0
51,Vbisoacville,Uahnbkland,8.796,30.05,9.847,27.695,37.224,44.113,35.274,23,21.206,1.637,11.129,44.458,110.595,3,21.548,26.774,31.725,9.581,95.059,0.124,51.134,11.831,86.605,114.566,61.599,7.799,54.354,32.87,66.742,1.592,58.484,26.604,75.211,106.814,94.697,50.148,127.944,37.74,47.006,52.993,49.852,60.459,33.906,46.786,1.218,18.978,43.132,13.777,33.98,13.907,12.975,16.923,0.068,44.551,57.088,1
52,Innryeoville,Hrycrjland,8.721,38.708,8.939,3.182,33.691,48.309,75.63,21.472,61.703,1.033,34.053,21.427,40.654,24.632,113.432,28.2,55.081,66.371,5.119,1.016,32.739,2.261,37.485,79.879,59.508,13.131,72.389,61.289,3.319,1.571,140.495,12.107,60.85,12.721,39.154,29.245,93.657,10.909,13.485,15.518,56.639,6.727,63.496,44.986,47.783,12.748,29.827,22.113,19.247,35.67,68.156,33.128,63.522,36.995,77.114,0
53,Smlfthcville,Bqcpland,11.105,41.248,10.767,6.811,46.832,109.628,60.862,31.097,33.289,1.9,117.201,47.024,0.253,31.754,70.439,74.356,131.753,39.706,124.273,2.639,43.55,33.403,36.176,142.184,36.422,113.227,52.915,15.072,32.811,2.485,12.188,22.729,45.769,11.562,56.893,56.628,40.623,103.017,8.398,67.915,0.906,6.255,20.977,17.795,41.251,78.676,22.012,107.859,25.666,42.324,73.752,89.123,127.117,16.768,6.137,0
54,Szayrville,Hrycrjland,11.879,35.925,8.721,1.256,25.745,23.659,49.24,33.612,68.511,1.534,10.334,76.71,50.954,24.481,29.153,64.93,19.975,60.269,16.931,0.324,11.108,99.387,51.56,29.623,13.399,72.884,101.816,44.242,123.201,3.814,62.075,122.699,65.643,16.332,10.015,68.743,74.621,35.515,20.411,57.982,58.837,73.61,89.24,55.557,66.491,36.546,59.616,69.762,0.268,71.598,32.531,24.23,74.072,21.059,96.012,1
55,Szayrville,Bqcpland,7.118,40.634,8.142,88.477,31.487,68.058,63.134,88.031,53.291,1.331,81.416,12.635,50.419,32.532,97.563,7.497,82.013,78.573,68.883,1.683,127.894,107.085,14.226,1.177,76.928,26.228,2.779,48.084,17.121,1.136,102.473,124.242,0.841,20.609,15.767,119.159,41.739,105.066,91.21,32.483,30.987,62.47,7.07,16.094,44.86,28.095,40.724,65.244,8.91,96.153,12.598,76.277,16.927,24.85,112.79,1
56,Zjpwmville,Mytsland,9.256,31.506,6.404,60.235,42.327,39.854,108.54,44.327,49.452,0.992,40.27,129.221,93.438,67.695,61.834,70.04,44.811,66.11,52.721,0.651,133.628,28.598,96.785,52.243,53.582,5.657,50.934,52.357,60.835,0.661,70.873,50.85,61.487,116.359,54.236,76.182,21.702,45.585,25.367,87.342,114.985,127.908,45.069,81.525,60.418,47.502,9.657,32.615,79.426,50.826,38.021,18.526,94.131,40.51,32.768,1
